id,sum_pos,sum_neg,min_neg,max_pos,num_comments,has_images,has_code_snippets,merged
smarthomeNG-plugins-7,1,0,0,1,1,False,False,False
Inria-Asclepios-medInria-public-267,1,-1,-1,1,1,True,False,True
adobe-photoshop-spaces-design-2056,1,0,0,1,1,False,False,True
alphagov-govuk_elements-229,1,-1,-1,1,1,True,False,True
18F-identity-idp-618,0,-1,-1,0,1,False,False,True
almighty-almighty-core-1196,2,-1,-1,2,1,True,False,True
lukesampson-scoop-extras-452,0,-3,-3,0,1,True,False,True
simonbyrne-InplaceOps.jl-9,2,-2,-2,2,1,True,False,True
apache-spark-on-k8s-spark-175,2,0,0,2,1,False,False,True
uber-cherami-server-44,1,-2,-2,1,1,False,False,True
amatsuda-active_decorator-76,1,0,0,1,1,False,False,True
openzipkin-zipkin-599,0,-2,-2,0,1,False,False,True
dotnet-coreclr-1205,2,-1,-1,2,1,True,False,True
snollygolly-paw-wars-90,2,-1,-1,2,1,False,False,True
cosmos-voyager-749,1,-3,-3,1,1,True,False,True
numenta-nupic-3135,1,-1,-1,1,1,True,False,True
GoogleCloudPlatform-gcloud-python-595,1,-1,-1,1,1,True,False,True
greenplum-db-gpdb-621,1,0,0,1,1,False,False,True
Chocobozzz-PeerTube-1252,1,-1,-1,1,1,True,False,True
cfpb-cfgov-refresh-464,2,-2,-2,2,1,False,False,True
alphagov-govuk-frontend-770,1,0,0,1,1,False,False,True
zcash-zcash-2940,1,-1,-1,1,1,True,False,True
JuliaLang-julia-22978,0,-2,-2,0,1,True,False,True
rust-lang-nursery-rust-bindgen-956,2,-1,-1,2,1,False,False,True
AusDTO-gov-au-beta-402,1,0,0,1,1,False,False,True
siso-vagrant-cheftdd-2,1,0,0,1,1,False,False,False
ripple-rippled-2589,1,0,0,1,1,False,False,False
CanalTP-navitia-1727,1,0,0,1,1,False,False,True
ManageIQ-manageiq-providers-vmware-191,2,0,0,2,1,True,False,True
guardian-frontend-12099,2,0,0,2,1,False,False,True
civicrm-civicrm-core-11050,0,-3,-3,0,1,False,False,True
Devex-spaceflight-64,1,-2,-2,1,1,False,False,True
flutter-flutter-7915,1,0,0,1,1,False,True,True
ticketmaster-aurora-191,1,0,0,1,1,True,False,True
FriendsOfPHP-Sami-239,1,-2,-2,1,1,False,True,False
hpcugent-easybuild-easyconfigs-2414,1,0,0,1,1,False,False,True
apache-incubator-beam-859,1,-1,-1,1,1,True,False,False
brendanashworth-generate-password-14,0,-1,-1,0,1,True,False,True
robotology-yarp-1384,1,0,0,1,1,False,False,True
openshift-origin-14124,1,0,0,1,1,False,False,True
PolicyStat-ckeditor-spell-check-plugin-js-dev-edge-14,2,0,0,2,1,False,False,True
open-mpi-ompi-www-80,1,0,0,1,1,False,False,True
signmeup-signmeup-160,2,-1,-1,2,1,False,False,True
ceph-teuthology-511,0,-1,-1,0,1,False,False,True
puli-twig-extension-7,2,0,0,2,1,False,False,True
twitter-finagle-502,1,-1,-1,1,1,False,False,False
fastlane-fastlane-12128,1,-1,-1,1,1,False,False,True
jupyter-incubator-dashboards_server-143,1,-2,-2,1,1,False,False,True
ibm-watson-data-lab-ibmos2spark-28,2,0,0,2,1,False,False,True
StoDevX-AAO-React-Native-732,1,0,0,1,1,True,False,False
pentaho-pentaho-platform-plugin-common-ui-711,0,-1,-1,0,1,False,False,True
owncloud-core-19970,1,-1,-1,1,1,False,False,True
ScottLogic-StockFlux-458,2,0,0,2,1,False,True,True
dotnet-coreclr-20277,1,0,0,1,1,False,False,True
Microsoft-vsts-tasks-3632,1,0,0,1,1,False,False,True
manshar-manshar-189,1,0,0,1,1,False,False,False
SnappyDataInc-snappy-store-63,1,0,0,1,1,False,False,True
tgstation--tg-station-11848,1,0,0,1,1,False,False,True
wordpress-mobile-WordPress-iOS-8626,1,0,0,1,1,False,False,True
coryhouse-react-slingshot-475,3,0,0,3,1,False,False,True
fusor-fusor-799,1,0,0,1,1,False,False,True
FreeOpcUa-python-opcua-515,1,-2,-2,1,1,False,False,True
edx-edx-platform-15678,0,-1,-1,0,1,False,False,True
mysociety-alaveteli-4383,1,0,0,1,1,False,False,True
agrc-gis.utah.gov-572,2,0,0,2,1,False,False,True
chrishenry-deltanyc-heatseek-78,1,-2,-2,1,1,False,False,True
PX4-Devguide-491,1,0,0,1,1,False,False,True
pymc-devs-pymc3-2013,1,-1,-1,1,1,True,False,True
diku-dk-futhark-476,0,-2,-2,0,1,False,False,True
GeoscienceAustralia-GNSS-Site-Manager-466,1,0,0,1,1,False,False,True
NecronomiconCoding-NecroBot-907,2,-2,-2,2,1,True,True,True
opencypher-openCypher-42,1,0,0,1,1,False,False,True
bbatsov-rubocop-4069,1,-1,-1,1,1,False,False,True
florinpatrascu-bolt_sips-30,2,-2,-2,2,1,False,False,True
amazeeio-docs-12,1,0,0,1,1,False,False,False
eregs-regulations-site-230,1,0,0,1,1,False,False,True
realm-realm-java-5520,1,-1,-1,1,1,False,False,True
terraform-providers-terraform-provider-google-1071,3,-1,-1,3,1,False,False,True
habitat-sh-core-plans-506,1,-1,-1,1,1,False,False,True
thoughtbot-cocaine-97,2,0,0,2,1,True,False,False
sleuthkit-autopsy-4041,0,-1,-1,0,1,False,False,True
kubernetes-kubernetes-52912,1,0,0,1,1,True,False,True
psss-fmf-22,1,-2,-2,1,1,False,False,True
zealdocs-zeal-549,1,0,0,1,1,False,False,False
swagger-api-swagger-codegen-6000,1,-2,-2,1,1,True,False,False
rust-lang-rust-54241,2,-1,-1,2,1,True,False,True
apache-spark-13847,1,-1,-1,1,1,False,False,False
PrestaShop-PrestaShop-5234,0,-1,-1,0,1,False,False,True
geopandas-geopandas-499,1,-1,-1,1,1,False,False,True
api-platform-core-2142,1,-1,-1,1,1,False,False,True
puppetlabs-beaker-711,2,-1,-1,2,1,False,False,True
sdogruyol-tren-1,1,0,0,1,1,False,False,True
YunoHost-yunohost-574,1,0,0,1,1,False,False,True
laravel-framework-14564,2,0,0,2,1,False,False,False
xebialabs-overthere-168,1,-1,-1,1,1,False,False,True
ga4gh-server-80,1,0,0,1,1,False,False,True
NSLS-II-lightsource2-recipes-313,1,0,0,1,1,False,False,True
GoogleChrome-lighthouse-1433,1,0,0,1,1,False,False,True
grpc-grpc-9054,1,0,0,1,1,True,False,True
schwa-punic-33,1,0,0,1,1,False,False,True
fish-shell-fish-shell-2719,3,-1,-1,3,1,True,False,False
coderkevin-fresh-data-24,1,0,0,1,1,False,False,True
PolymerElements-paper-menu-57,1,0,0,1,1,False,False,False
gradle-gradle-6019,1,-3,-3,1,1,False,False,True
scala-native-scala-native-564,0,-2,-2,0,1,False,False,False
Azure-azure-sdk-for-python-2122,0,-1,-1,0,1,True,False,True
pmem-nvml-2208,0,-1,-1,0,1,True,False,True
google-leveldb-526,1,-2,-2,1,1,False,False,False
mantidproject-mantid-22018,0,-1,-1,0,1,False,True,True
DroidKaigi-conference-app-2018-106,1,-1,-1,1,1,False,False,True
articulate-terraform-provider-okta-29,2,0,0,2,1,False,False,True
apache-flink-5802,1,0,0,1,1,False,False,False
ampproject-docs-1043,1,-1,-1,1,1,False,False,True
bitcoin-bitcoin-8708,2,-2,-2,2,1,True,False,False
LMMS-lmms-3414,1,0,0,1,1,False,False,True
caffe2-caffe2-1192,1,-3,-3,1,1,False,False,False
eclipse-openj9-3859,0,-1,-1,0,1,False,False,True
callumacrae-gulp-w3cjs-11,1,0,0,1,1,False,False,True
push-things-wallabag_api-15,1,0,0,1,1,False,False,True
quasar-analytics-quasar-1843,2,0,0,2,1,False,False,True
cosmos-game-of-stakes-247,2,-2,-2,2,1,True,False,True
piwik-piwik-sdk-ios-164,0,-1,-1,0,1,False,False,True
salesagility-SuiteCRM-2384,2,0,0,2,1,False,False,True
angular-material2-6408,1,0,0,1,1,False,False,True
apache-trafficserver-218,0,-2,-2,0,1,False,False,False
gluster-gluster-block-112,2,-1,-1,2,1,True,False,True
2600hz-kazoo-2851,1,0,0,1,1,False,False,True
crowbar-crowbar-openstack-89,1,0,0,1,1,False,False,False
NetSys-bess-179,0,-1,-1,0,1,True,False,True
weldr-welder-web-312,2,-1,-1,2,1,True,False,True
dotnet-cli-373,1,-1,-1,1,1,False,False,True
