id,sum_pos,sum_neg,min_neg,max_pos,num_comments,has_images,has_code_snippets,merged
mavlink-mavlink-devguide-27,1,-1,-1,1,1,True,False,True
zaquestion-lab-22,1,0,0,1,1,False,False,True
mesosphere-dcos-commons-2263,1,0,0,1,1,False,False,True
apache-kafka-2758,1,-2,-2,1,1,True,False,False
mozilla-firefox-greenlight-tests-42,2,-1,-1,2,1,False,False,False
aldro61-mmit-25,2,-1,-1,2,1,False,False,True
urfu-2015-verstka-tasks-3-9,0,-1,-1,0,1,True,False,False
cyverse-de-terrain-70,1,-1,-1,1,1,False,False,True
python-pillow-Pillow-1582,1,0,0,1,1,True,False,False
oat-sa-extension-tao-testqti-1190,2,-1,-1,2,1,True,False,True
HabitRPG-habitrpg-6765,0,-3,-3,0,1,True,False,False
hyperledger-sawtooth-core-854,0,-1,-1,0,1,False,False,True
calzoneman-sync-685,1,-3,-3,1,1,False,False,True
ExpressGateway-express-gateway-plugin-example-3,1,-3,-3,1,1,True,False,True
washingtonstateuniversity-WSUWP-Plugin-iDonate-223,0,-1,-1,0,1,False,False,True
CecilySaurus-Cec_Bloccit-9,1,0,0,1,1,False,False,True
CartoDB-cartodb-5302,1,-1,-1,1,1,False,False,True
rackerlabs-mimic-627,2,-2,-2,2,1,True,False,True
asset-pipe-asset-pipe-css-reader-2,1,0,0,1,1,True,False,True
racker-rackspace-monitoring-poller-43,1,-1,-1,1,1,False,False,True
callemall-material-ui-2753,1,-3,-3,1,1,False,False,True
janrain-BagelSong-36,1,0,0,1,1,True,False,True
EUDAT-GEF-GEF-162,0,-1,-1,0,1,False,False,False
publiclab-plots2-1029,1,0,0,1,1,False,False,True
stardust-ui-react-493,1,0,0,1,1,True,False,True
Kumatetsu-Bomberman-16,1,-2,-2,1,1,False,False,True
facebook-react-native-242,1,0,0,1,1,False,False,True
asteris-llc-converge-403,1,0,0,1,1,True,False,True
exercism-rust-520,2,-2,-2,2,1,False,False,True
tellapart-Diamond-47,1,0,0,1,1,False,False,True
kubernetes-kubernetes-64214,0,-1,-1,0,1,False,False,False
codeclimate-codeclimate-200,1,0,0,1,1,False,False,True
pytorch-pytorch-13650,2,-1,-1,2,1,True,False,False
UristMcStation-UristMcStation-559,2,-3,-3,2,1,False,False,True
wordpress-mobile-AztecEditor-iOS-1070,3,-2,-2,3,1,True,False,True
dotnet-wcf-2341,1,-1,-1,1,1,True,False,True
GeoscienceAustralia-datacube-stats-112,1,-2,-2,1,1,True,False,True
genome-genome-983,1,0,0,1,1,False,False,True
wayfair-tungstenjs-247,0,-1,-1,0,1,True,False,True
cocos2d-cocos2d-x-13716,0,-1,-1,0,1,False,False,True
gwtproject-gwt-site-228,1,-1,-1,1,1,False,False,True
entando-entando-components-27,0,-1,-1,0,1,False,False,True
PrismarineJS-mineflayer-575,1,-1,-1,1,1,False,False,False
dotnet-project-system-2035,0,-1,-1,0,1,False,False,False
foodora-go-ranger-39,0,-1,-1,0,1,True,False,True
ctreton-ReviewNinja-Welcome-1,1,0,0,1,1,False,False,True
druid-io-druid-4667,1,-1,-1,1,1,False,False,True
